horizon_days,feature_set,model,n_train,n_test,MAE,RMSE,R2,cycle_lag_days,MAE_current_only,improvement_vs_current_only_%
365,current_only,HistGradientBoosting,19965,4992,24.652,32.026,0.43,3617,24.652,0.0
365,current_only,RandomForest,19965,4992,24.934,32.682,0.406,3617,24.934,0.0
365,regime_numeric,RandomForest,19965,4992,24.953,34.786,0.327,3617,24.934,-0.074
365,regime_all,RandomForest,19965,4992,24.972,34.862,0.324,3617,24.934,-0.152
365,regime_numeric,Ridge,19965,4992,25.235,30.982,0.466,3617,26.049,3.127
365,persistence,Persistence,19965,4992,25.515,36.342,0.266,3617,,
365,current_only,Ridge,19965,4992,26.049,33.076,0.392,3617,26.049,0.0
365,regime_all,Ridge,19965,4992,27.003,33.796,0.365,3617,26.049,-3.659
730,cycle_phase,HistGradientBoosting,19965,4992,22.337,30.073,0.497,3252,33.679,33.678
730,cycle_phase,RandomForest,19965,4992,23.205,31.816,0.437,3252,33.997,31.743
730,cycle_phase,Ridge,19965,4992,23.324,30.69,0.476,3252,33.375,30.116
730,structural_all,HistGradientBoosting,19965,4992,24.422,31.148,0.461,3252,33.679,27.488
730,full_cycle,Ridge,19965,4992,24.707,32.048,0.429,3252,33.375,25.971
730,full_cycle,HistGradientBoosting,19965,4992,25.443,35.325,0.306,3252,33.679,24.456
730,cycle_recurrence,Ridge,19965,4992,25.794,35.311,0.307,3252,33.375,22.713
730,cycle_recurrence,HistGradientBoosting,19965,4992,26.649,37.294,0.227,3252,33.679,20.876
730,structural_all,Ridge,19965,4992,26.892,32.894,0.398,3252,33.375,19.424
730,full_cycle,RandomForest,19965,4992,27.076,37.598,0.214,3252,33.997,20.359
730,cycle_recurrence,RandomForest,19965,4992,27.557,38.748,0.165,3252,33.997,18.942
730,structural_all,RandomForest,19965,4992,29.139,39.785,0.12,3252,33.997,14.289
730,regime_all,Ridge,19965,4992,30.752,37.587,0.215,3252,33.375,7.86
730,regime_numeric,Ridge,19965,4992,30.801,36.261,0.269,3252,33.375,7.712
730,regime_all,HistGradientBoosting,19965,4992,30.982,39.085,0.151,3252,33.679,8.009
730,regime_numeric,HistGradientBoosting,19965,4992,31.122,39.295,0.142,3252,33.679,7.595
730,regime_all,RandomForest,19965,4992,32.366,41.023,0.064,3252,33.997,4.798
730,current_only,Ridge,19965,4992,33.375,40.122,0.105,3252,33.375,0.0
730,current_only,HistGradientBoosting,19965,4992,33.679,40.84,0.073,3252,33.679,0.0
730,current_only,RandomForest,19965,4992,33.997,41.287,0.052,3252,33.997,0.0
730,regime_numeric,RandomForest,19965,4992,34.004,42.937,-0.025,3252,33.997,-0.021
730,persistence,Persistence,19965,4992,34.2,45.466,-0.149,3252,,
