date,f107_now,carrington_rotation,monthly_f107,sma_13_past,slope_12m,volatility_13m,cycle_state_falling,cycle_state_plateau,cycle_state_rising,activity_level_high,activity_level_low,activity_level_medium,volatility_state_high,volatility_state_normal
1947-06-03,225.5,1253.8816,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-04,221.1,1253.9183,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-05,221.2,1253.9551,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-06,216.8,1253.9919,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-07,244.8,1254.0286,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-08,245.43333333333334,1254.0653666666667,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-09,246.06666666666666,1254.1021333333333,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-10,246.7,1254.1389,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-11,188.3,1254.1757,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-12,151.1,1254.2124,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-13,175.5,1254.2492,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-14,176.4,1254.286,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-15,180.0,1254.32275,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-16,183.6,1254.3595,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-17,215.2,1254.3963,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-18,259.1,1254.433,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-19,287.1,1254.4698,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-20,279.2,1254.5066,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-21,296.5,1254.5433,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-22,294.1,1254.5801000000001,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-23,291.7,1254.6169,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-24,266.8,1254.6536,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-25,270.4,1254.6904,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-26,242.4,1254.7272,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-27,227.4,1254.7639,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-28,252.7,1254.8007,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-29,232.7,1254.83745,269.0241935483871,,,,0,1,0,0,0,1,0,1
1947-06-30,212.7,1254.8742,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-01,206.89999999999998,1254.91095,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-02,201.1,1254.9477,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-03,202.8,1254.9845,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-04,210.5,1255.0213,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-05,204.2,1255.058,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-06,210.45,1255.09475,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-07,216.7,1255.1315,235.69500000000002,,,,0,1,0,0,0,1,0,1
